title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
Gunfight at the O.K. Corral,122,7.2,15529,109,49,56,5,3,0,0,0,0,0,2,0
Guys and Dolls,150,7.1,17452,156,62,77,10,3,0,0,0,1,0,4,0
Hamlet,154,7.6,16737,100,55,82,7,3,0,0,3,0,0,13,4
Hannah and Her Sisters,107,7.9,70716,195,80,90,12,0,0,8,73,6,5,7,3
Happy Feet,108,6.4,181937,612,121,77,26,4,0,6.2,190,69,81,1,1
Happy-Go-Lucky,118,7,39341,221,179,84,31,3,0,8,209,17,42,1,0
Harlem Nights,116,6,22501,87,27,16,0,3,11,8.4,50,3,7,1,0
Harry Potter and the Goblet of Fire,157,7.7,604072,2000,312,81,35,3,0,7.9,988,141,81,1,0
Harry Potter and the Half-Blood Prince,153,7.6,524675,1.1,391,78,31,5,0,7.2,912,237,144,1,0
Harry Potter and the Prisoner of Azkaban,142,7.9,610639,1600,288,82,36,4,0,8.3,930,84,42,2,0
Harry Potter and the Sorcerer's Stone,152,7.6,747634,1900,274,65,25,12,0,7.8,821,105,51,3,0
Harry and Tonto,115,7.4,5661,74,40,72,9,4,0,0,1,0,0,2,1
Harry and the Hendersons,110,6,35380,60,31,42,2,6,2,6.5,9,9,2,1,1
Heart Like a Wheel,113,6.7,1417,18,6,74,10,1,0,0,0,0,0,1,0
Heartbreak Ridge,130,6.8,43205,155,39,53,5,9,2,6.7,5,0,1,2,0
Hearts and Minds,112,8.2,5688,46,68,68,6,3,0,7.2,10,1,2,1,1
Heaven Can Wait,101,6.9,20852,121,49,72,7,3,0,7.9,8,0,0,12,1
Heaven's Gate,219,6.7,14946,253,139,57,7,3,5,6.1,4,2,2,1,0
